date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:29	64654/64654	---M-Z	200	added ('OK')	text/html	etag:%22159a1106-fc8e-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html	(from )
13:29:30	13/13	---M--	200	added ('OK')	text/plain	etag:%2214f00210-d-54bd9ec6f98cb%22	https://pixinvent.com/robots.txt		(from )
13:29:31	251/251	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2021%20Mar%202018%2018:28:55%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/ico/apple-icon-60.png	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/ico/apple-icon-60.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:33	251/251	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2021%20Mar%202018%2018:28:57%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/ico/apple-icon-76.png	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/ico/apple-icon-76.2.delayed	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:34	251/251	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2021%20Mar%202018%2018:28:59%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/ico/apple-icon-120.png	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/ico/apple-icon-120.3.delayed	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:49	48811/48811	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Mar%202018%2018:29:00%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/ico/apple-icon-152.png	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/ico/apple-icon-152.4.delayed	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:51	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%22157a10a3-1536-565b7993cbfd4%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/ico/favicon.ico	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/ico/favicon.ico	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:52	1719/1719	---M--	200	added ('OK')	image/png	etag:%22157a10a2-6b7-565b7993cbbec%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/ico/favicon-32.png	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/img/ico/favicon-32.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:52	2866/2866	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2018:29:52%20GMT	https://fonts.googleapis.com/css?family=Rubik:300,400,500,700,900|Montserrat:300,400,500,600,700,800,900	/home/ian-dot/websites/p4/fonts.googleapis.com/cssba9e.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:29:53	9225/9225	---M--	200	added ('OK')	text/css	etag:%2215802bbf-2409-565b7993ce6e4%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/fonts/feather/style.min.css	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/app-assets/fonts/feather/style.min.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
